city_code_cbs;city_name;corop_code_cbs;corop_name;selection
GM0037;Stadskanaal;CR01;Oost-Groningen;"0"
GM1950;Westerwolde;CR01;Oost-Groningen;"0"
GM0047;Veendam;CR01;Oost-Groningen;"0"
GM0765;Pekela;CR01;Oost-Groningen;"0"
GM1895;Oldambt;CR01;Oost-Groningen;"0"
GM1979;Eemsdelta;CR02;Delfzijl en omgeving;"0"
GM1952;Midden-Groningen;CR03;Overig Groningen;"0"
GM0014;Groningen;CR03;Overig Groningen;"1"
GM1969;Westerkwartier;CR03;Overig Groningen;"0"
GM1966;Het Hogeland;CR03;Overig Groningen;"0"
GM0080;Leeuwarden;CR04;Noord-Friesland;"1"
GM0072;Harlingen;CR04;Noord-Friesland;"0"
GM0059;Achtkarspelen;CR04;Noord-Friesland;"0"
GM0096;Vlieland;CR04;Noord-Friesland;"0"
GM1970;Noardeast-Fryslân;CR04;Noord-Friesland;"0"
GM0093;Terschelling;CR04;Noord-Friesland;"0"
GM0060;Ameland;CR04;Noord-Friesland;"0"
GM0088;Schiermonnikoog;CR04;Noord-Friesland;"0"
GM0737;Tytsjerksteradiel;CR04;Noord-Friesland;"0"
GM1891;Dantumadiel;CR04;Noord-Friesland;"0"
GM1949;Waadhoeke;CR04;Noord-Friesland;"0"
GM1940;De Fryske Marren;CR05;Zuidwest-Friesland;"0"
GM1900;Súdwest-Fryslân;CR05;Zuidwest-Friesland;"0"
GM0098;Weststellingwerf;CR06;Zuidoost-Friesland;"0"
GM0074;Heerenveen;CR06;Zuidoost-Friesland;"0"
GM0085;Ooststellingwerf;CR06;Zuidoost-Friesland;"0"
GM0086;Opsterland;CR06;Zuidoost-Friesland;"0"
GM0090;Smallingerland;CR06;Zuidoost-Friesland;"0"
GM0106;Assen;CR07;Noord-Drenthe;"0"
GM1680;Aa en Hunze;CR07;Noord-Drenthe;"0"
GM1699;Noordenveld;CR07;Noord-Drenthe;"0"
GM1730;Tynaarlo;CR07;Noord-Drenthe;"0"
GM1731;Midden-Drenthe;CR07;Noord-Drenthe;"0"
GM1681;Borger-Odoorn;CR08;Zuidoost-Drenthe;"0"
GM0109;Coevorden;CR08;Zuidoost-Drenthe;"0"
GM0114;Emmen;CR08;Zuidoost-Drenthe;"0"
GM1701;Westerveld;CR09;Zuidwest-Drenthe;"0"
GM0119;Meppel;CR09;Zuidwest-Drenthe;"0"
GM0118;Hoogeveen;CR09;Zuidwest-Drenthe;"0"
GM1690;De Wolden;CR09;Zuidwest-Drenthe;"0"
GM0193;Zwolle;CR10;Noord-Overijssel;"1"
GM0180;Staphorst;CR10;Noord-Overijssel;"0"
GM0148;Dalfsen;CR10;Noord-Overijssel;"0"
GM0175;Ommen;CR10;Noord-Overijssel;"0"
GM0160;Hardenberg;CR10;Noord-Overijssel;"0"
GM1708;Steenwijkerland;CR10;Noord-Overijssel;"0"
GM1896;Zwartewaterland;CR10;Noord-Overijssel;"0"
GM0166;Kampen;CR10;Noord-Overijssel;"0"
GM0150;Deventer;CR11;Zuidwest-Overijssel;"1"
GM0177;Raalte;CR11;Zuidwest-Overijssel;"0"
GM1773;Olst-Wijhe;CR11;Zuidwest-Overijssel;"0"
GM0163;Hellendoorn;CR12;Twente;"0"
GM0189;Wierden;CR12;Twente;"0"
GM0141;Almelo;CR12;Twente;"1"
GM0147;Borne;CR12;Twente;"0"
GM0158;Haaksbergen;CR12;Twente;"0"
GM0183;Tubbergen;CR12;Twente;"0"
GM0164;Hengelo;CR12;Twente;"1"
GM0153;Enschede;CR12;Twente;"1"
GM0173;Oldenzaal;CR12;Twente;"0"
GM0168;Losser;CR12;Twente;"0"
GM1700;Twenterand;CR12;Twente;"0"
GM1735;Hof van Twente;CR12;Twente;"0"
GM1742;Rijssen-Holten;CR12;Twente;"0"
GM1774;Dinkelland;CR12;Twente;"0"
GM0246;Heerde;CR13;Veluwe;"0"
GM0244;Hattem;CR13;Veluwe;"0"
GM0285;Voorst;CR13;Veluwe;"0"
GM0200;Apeldoorn;CR13;Veluwe;"1"
GM0273;Putten;CR13;Veluwe;"0"
GM0243;Harderwijk;CR13;Veluwe;"0"
GM0233;Ermelo;CR13;Veluwe;"0"
GM0302;Nunspeet;CR13;Veluwe;"0"
GM0230;Elburg;CR13;Veluwe;"0"
GM0269;Oldebroek;CR13;Veluwe;"0"
GM0232;Epe;CR13;Veluwe;"0"
GM0267;Nijkerk;CR13;Veluwe;"0"
GM0203;Barneveld;CR13;Veluwe;"0"
GM0289;Wageningen;CR13;Veluwe;"0"
GM0228;Ede;CR13;Veluwe;"1"
GM0279;Scherpenzeel;CR13;Veluwe;"0"
GM0213;Brummen;CR14;Achterhoek;"0"
GM0222;Doetinchem;CR14;Achterhoek;"0"
GM0262;Lochem;CR14;Achterhoek;"0"
GM0197;Aalten;CR14;Achterhoek;"0"
GM0294;Winterswijk;CR14;Achterhoek;"0"
GM0301;Zutphen;CR14;Achterhoek;"0"
GM1509;Oude IJsselstreek;CR14;Achterhoek;"0"
GM1586;Oost Gelre;CR14;Achterhoek;"0"
GM1859;Berkelland;CR14;Achterhoek;"0"
GM1876;Bronckhorst;CR14;Achterhoek;"0"
GM1955;Montferland;CR14;Achterhoek;"0"
GM0226;Duiven;CR15;Arnhem/Nijmegen;"0"
GM0221;Doesburg;CR15;Arnhem/Nijmegen;"0"
GM0275;Rheden;CR15;Arnhem/Nijmegen;"0"
GM0299;Zevenaar;CR15;Arnhem/Nijmegen;"0"
GM0277;Rozendaal;CR15;Arnhem/Nijmegen;"0"
GM0202;Arnhem;CR15;Arnhem/Nijmegen;"1"
GM0252;Heumen;CR15;Arnhem/Nijmegen;"0"
GM0296;Wijchen;CR15;Arnhem/Nijmegen;"0"
GM1945;Berg en Dal;CR15;Arnhem/Nijmegen;"0"
GM0268;Nijmegen;CR15;Arnhem/Nijmegen;"1"
GM0209;Beuningen;CR15;Arnhem/Nijmegen;"0"
GM0225;Druten;CR15;Arnhem/Nijmegen;"0"
GM0293;Westervoort;CR15;Arnhem/Nijmegen;"0"
GM0274;Renkum;CR15;Arnhem/Nijmegen;"0"
GM1705;Lingewaard;CR15;Arnhem/Nijmegen;"0"
GM1734;Overbetuwe;CR15;Arnhem/Nijmegen;"0"
GM0297;Zaltbommel;CR16;Zuidwest-Gelderland;"0"
GM1960;West Betuwe;CR16;Zuidwest-Gelderland;"0"
GM0216;Culemborg;CR16;Zuidwest-Gelderland;"0"
GM0263;Maasdriel;CR16;Zuidwest-Gelderland;"0"
GM0281;Tiel;CR16;Zuidwest-Gelderland;"0"
GM0214;Buren;CR16;Zuidwest-Gelderland;"0"
GM0668;West Maas en Waal;CR16;Zuidwest-Gelderland;"0"
GM1740;Neder-Betuwe;CR16;Zuidwest-Gelderland;"0"
GM0589;Oudewater;CR17;Utrecht;"0"
GM0335;Montfoort;CR17;Utrecht;"0"
GM0331;Lopik;CR17;Utrecht;"0"
GM0353;IJsselstein;CR17;Utrecht;"0"
GM0344;Utrecht;CR17;Utrecht;"1"
GM0356;Nieuwegein;CR17;Utrecht;"0"
GM0310;De Bilt;CR17;Utrecht;"0"
GM0321;Houten;CR17;Utrecht;"0"
GM0312;Bunnik;CR17;Utrecht;"0"
GM0355;Zeist;CR17;Utrecht;"0"
GM0308;Baarn;CR17;Utrecht;"0"
GM0317;Eemnes;CR17;Utrecht;"0"
GM0342;Soest;CR17;Utrecht;"0"
GM0352;Wijk bij Duurstede;CR17;Utrecht;"0"
GM0313;Bunschoten;CR17;Utrecht;"0"
GM0307;Amersfoort;CR17;Utrecht;"1"
GM0327;Leusden;CR17;Utrecht;"0"
GM0351;Woudenberg;CR17;Utrecht;"0"
GM0632;Woerden;CR17;Utrecht;"0"
GM1961;Vijfheerenlanden;CR17;Utrecht;"0"
GM0736;De Ronde Venen;CR17;Utrecht;"0"
GM1581;Utrechtse Heuvelrug;CR17;Utrecht;"0"
GM1904;Stichtse Vecht;CR17;Utrecht;"0"
GM0340;Rhenen;CR17;Utrecht;"0"
GM0345;Veenendaal;CR17;Utrecht;"0"
GM0339;Renswoude;CR17;Utrecht;"0"
GM0400;Den Helder;CR18;Kop van Noord-Holland;"0"
GM0448;Texel;CR18;Kop van Noord-Holland;"0"
GM0441;Schagen;CR18;Kop van Noord-Holland;"0"
GM0432;Opmeer;CR18;Kop van Noord-Holland;"0"
GM0405;Hoorn;CR18;Kop van Noord-Holland;"1"
GM0420;Medemblik;CR18;Kop van Noord-Holland;"0"
GM0498;Drechterland;CR18;Kop van Noord-Holland;"0"
GM1598;Koggenland;CR18;Kop van Noord-Holland;"0"
GM1911;Hollands Kroon;CR18;Kop van Noord-Holland;"0"
GM0532;Stede Broec;CR18;Kop van Noord-Holland;"0"
GM0388;Enkhuizen;CR18;Kop van Noord-Holland;"0"
GM0373;Bergen (NH.);CR19;Alkmaar en omgeving;"0"
GM0399;Heiloo;CR19;Alkmaar en omgeving;"0"
GM0416;Langedijk;CR19;Alkmaar en omgeving;"0"
GM0361;Alkmaar;CR19;Alkmaar en omgeving;"1"
GM0398;Heerhugowaard;CR19;Alkmaar en omgeving;"0"
GM0453;Velsen;CR20;IJmond;"1"
GM0375;Beverwijk;CR20;IJmond;"0"
GM0396;Heemskerk;CR20;IJmond;"0"
GM0383;Castricum;CR20;IJmond;"0"
GM0450;Uitgeest;CR20;IJmond;"0"
GM0473;Zandvoort;CR21;Agglomeratie Haarlem;"0"
GM0377;Bloemendaal;CR21;Agglomeratie Haarlem;"0"
GM0397;Heemstede;CR21;Agglomeratie Haarlem;"0"
GM0392;Haarlem;CR21;Agglomeratie Haarlem;"1"
GM0479;Zaanstad;CR22;Zaanstreek;"1"
GM0880;Wormerland;CR22;Zaanstreek;"0"
GM0394;Haarlemmermeer;CR23;Groot-Amsterdam;"1"
GM0362;Amstelveen;CR23;Groot-Amsterdam;"1"
GM0431;Oostzaan;CR23;Groot-Amsterdam;"0"
GM0363;Amsterdam;CR23;Groot-Amsterdam;"1"
GM0437;Ouder-Amstel;CR23;Groot-Amsterdam;"0"
GM0370;Beemster;CR23;Groot-Amsterdam;"0"
GM0415;Landsmeer;CR23;Groot-Amsterdam;"0"
GM0439;Purmerend;CR23;Groot-Amsterdam;"1"
GM0384;Diemen;CR23;Groot-Amsterdam;"0"
GM0852;Waterland;CR23;Groot-Amsterdam;"0"
GM0385;Edam-Volendam;CR23;Groot-Amsterdam;"0"
GM0358;Aalsmeer;CR23;Groot-Amsterdam;"0"
GM0451;Uithoorn;CR23;Groot-Amsterdam;"0"
GM0457;Weesp;CR24;Het Gooi en Vechtstreek;"0"
GM1942;Gooise Meren;CR24;Het Gooi en Vechtstreek;"0"
GM0402;Hilversum;CR24;Het Gooi en Vechtstreek;"1"
GM0417;Laren;CR24;Het Gooi en Vechtstreek;"0"
GM1696;Wijdemeren;CR24;Het Gooi en Vechtstreek;"0"
GM0406;Huizen;CR24;Het Gooi en Vechtstreek;"0"
GM0376;Blaricum;CR24;Het Gooi en Vechtstreek;"0"
GM0534;Hillegom;CR25;Agglomeratie Leiden en Bollenstreek;"0"
GM0638;Zoeterwoude;CR25;Agglomeratie Leiden en Bollenstreek;"0"
GM0626;Voorschoten;CR25;Agglomeratie Leiden en Bollenstreek;"0"
GM0546;Leiden;CR25;Agglomeratie Leiden en Bollenstreek;"1"
GM0547;Leiderdorp;CR25;Agglomeratie Leiden en Bollenstreek;"0"
GM0579;Oegstgeest;CR25;Agglomeratie Leiden en Bollenstreek;"0"
GM0537;Katwijk;CR25;Agglomeratie Leiden en Bollenstreek;"1"
GM0553;Lisse;CR25;Agglomeratie Leiden en Bollenstreek;"0"
GM0575;Noordwijk;CR25;Agglomeratie Leiden en Bollenstreek;"0"
GM1525;Teylingen;CR25;Agglomeratie Leiden en Bollenstreek;"0"
GM1884;Kaag en Braassem;CR25;Agglomeratie Leiden en Bollenstreek;"0"
GM0603;Rijswijk;CR26;Agglomeratie 's-Gravenhage;"0"
GM0637;Zoetermeer;CR26;Agglomeratie 's-Gravenhage;"1"
GM0518;'s-Gravenhage;CR26;Agglomeratie 's-Gravenhage;"1"
GM0629;Wassenaar;CR26;Agglomeratie 's-Gravenhage;"0"
GM1916;Leidschendam-Voorburg;CR26;Agglomeratie 's-Gravenhage;"1"
GM1926;Pijnacker-Nootdorp;CR26;Agglomeratie 's-Gravenhage;"0"
GM0503;Delft;CR27;Delft en Westland;"1"
GM1783;Westland;CR27;Delft en Westland;"0"
GM1842;Midden-Delfland;CR27;Delft en Westland;"0"
GM0513;Gouda;CR28;Oost-Zuid-Holland;"1"
GM1931;Krimpenerwaard;CR28;Oost-Zuid-Holland;"0"
GM0569;Nieuwkoop;CR28;Oost-Zuid-Holland;"0"
GM1901;Bodegraven-Reeuwijk;CR28;Oost-Zuid-Holland;"0"
GM0627;Waddinxveen;CR28;Oost-Zuid-Holland;"0"
GM0484;Alphen aan den Rijn;CR28;Oost-Zuid-Holland;"1"
GM1963;Hoeksche Waard;CR29;Groot-Rijnmond;"0"
GM1930;Nissewaard;CR29;Groot-Rijnmond;"0"
GM0489;Barendrecht;CR29;Groot-Rijnmond;"0"
GM0530;Hellevoetsluis;CR29;Groot-Rijnmond;"0"
GM0613;Albrandswaard;CR29;Groot-Rijnmond;"0"
GM0597;Ridderkerk;CR29;Groot-Rijnmond;"0"
GM0501;Brielle;CR29;Groot-Rijnmond;"0"
GM0614;Westvoorne;CR29;Groot-Rijnmond;"0"
GM0542;Krimpen aan den IJssel;CR29;Groot-Rijnmond;"0"
GM0599;Rotterdam;CR29;Groot-Rijnmond;"1"
GM0622;Vlaardingen;CR29;Groot-Rijnmond;"1"
GM0556;Maassluis;CR29;Groot-Rijnmond;"0"
GM0606;Schiedam;CR29;Groot-Rijnmond;"1"
GM0502;Capelle aan den IJssel;CR29;Groot-Rijnmond;"1"
GM1621;Lansingerland;CR29;Groot-Rijnmond;"0"
GM1892;Zuidplas;CR29;Groot-Rijnmond;"0"
GM1924;Goeree-Overflakkee;CR29;Groot-Rijnmond;"0"
GM0505;Dordrecht;CR30;Zuidoost-Zuid-Holland;"1"
GM0590;Papendrecht;CR30;Zuidoost-Zuid-Holland;"0"
GM0523;Hardinxveld-Giessendam;CR30;Zuidoost-Zuid-Holland;"0"
GM0512;Gorinchem;CR30;Zuidoost-Zuid-Holland;"0"
GM0610;Sliedrecht;CR30;Zuidoost-Zuid-Holland;"0"
GM1978;Molenlanden;CR30;Zuidoost-Zuid-Holland;"0"
GM0642;Zwijndrecht;CR30;Zuidoost-Zuid-Holland;"0"
GM0531;Hendrik-Ido-Ambacht;CR30;Zuidoost-Zuid-Holland;"0"
GM0482;Alblasserdam;CR30;Zuidoost-Zuid-Holland;"0"
GM0715;Terneuzen;CR31;Zeeuwsch-Vlaanderen;"0"
GM0677;Hulst;CR31;Zeeuwsch-Vlaanderen;"0"
GM1714;Sluis;CR31;Zeeuwsch-Vlaanderen;"0"
GM0703;Reimerswaal;CR32;Overig Zeeland;"0"
GM0654;Borsele;CR32;Overig Zeeland;"0"
GM0718;Vlissingen;CR32;Overig Zeeland;"0"
GM0678;Kapelle;CR32;Overig Zeeland;"0"
GM0687;Middelburg;CR32;Overig Zeeland;"1"
GM0664;Goes;CR32;Overig Zeeland;"0"
GM0717;Veere;CR32;Overig Zeeland;"0"
GM0716;Tholen;CR32;Overig Zeeland;"0"
GM1676;Schouwen-Duiveland;CR32;Overig Zeeland;"0"
GM1695;Noord-Beveland;CR32;Overig Zeeland;"0"
GM0748;Bergen op Zoom;CR33;West-Noord-Brabant;"1"
GM0777;Etten-Leur;CR33;West-Noord-Brabant;"0"
GM0758;Breda;CR33;West-Noord-Brabant;"1"
GM0779;Geertruidenberg;CR33;West-Noord-Brabant;"0"
GM0826;Oosterhout;CR33;West-Noord-Brabant;"0"
GM0840;Rucphen;CR33;West-Noord-Brabant;"0"
GM0851;Steenbergen;CR33;West-Noord-Brabant;"0"
GM0873;Woensdrecht;CR33;West-Noord-Brabant;"0"
GM0879;Zundert;CR33;West-Noord-Brabant;"0"
GM1655;Halderberge;CR33;West-Noord-Brabant;"0"
GM1674;Roosendaal;CR33;West-Noord-Brabant;"1"
GM1709;Moerdijk;CR33;West-Noord-Brabant;"0"
GM1719;Drimmelen;CR33;West-Noord-Brabant;"0"
GM0744;Baarle-Nassau;CR34;Midden-Noord-Brabant;"0"
GM0798;Hilvarenbeek;CR34;Midden-Noord-Brabant;"0"
GM0785;Goirle;CR34;Midden-Noord-Brabant;"0"
GM0784;Gilze en Rijen;CR34;Midden-Noord-Brabant;"0"
GM0824;Oisterwijk;CR34;Midden-Noord-Brabant;"0"
GM0809;Loon op Zand;CR34;Midden-Noord-Brabant;"0"
GM0766;Dongen;CR34;Midden-Noord-Brabant;"0"
GM0855;Tilburg;CR34;Midden-Noord-Brabant;"1"
GM0867;Waalwijk;CR34;Midden-Noord-Brabant;"0"
GM1723;Alphen-Chaam;CR34;Midden-Noord-Brabant;"0"
GM1959;Altena;CR34;Midden-Noord-Brabant;"0"
GM0865;Vught;CR35;Noordoost-Noord-Brabant;"0"
GM0797;Heusden;CR35;Noordoost-Noord-Brabant;"0"
GM0786;Grave;CR35;Noordoost-Noord-Brabant;"0"
GM0828;Oss;CR35;Noordoost-Noord-Brabant;"0"
GM0757;Boxtel;CR35;Noordoost-Noord-Brabant;"0"
GM1948;Meierijstad;CR35;Noordoost-Noord-Brabant;"0"
GM0755;Boekel;CR35;Noordoost-Noord-Brabant;"0"
GM1702;Sint Anthonis;CR35;Noordoost-Noord-Brabant;"0"
GM0756;Boxmeer;CR35;Noordoost-Noord-Brabant;"0"
GM0856;Uden;CR35;Noordoost-Noord-Brabant;"0"
GM0845;Sint-Michielsgestel;CR35;Noordoost-Noord-Brabant;"0"
GM0815;Mill en Sint Hubert;CR35;Noordoost-Noord-Brabant;"0"
GM1684;Cuijk;CR35;Noordoost-Noord-Brabant;"0"
GM1685;Landerd;CR35;Noordoost-Noord-Brabant;"0"
GM0796;'s-Hertogenbosch;CR35;Noordoost-Noord-Brabant;"1"
GM1721;Bernheze;CR35;Noordoost-Noord-Brabant;"0"
GM0823;Oirschot;CR36;Zuidoost-Noord-Brabant;"0"
GM1667;Reusel-De Mierden;CR36;Zuidoost-Noord-Brabant;"0"
GM1728;Bladel;CR36;Zuidoost-Noord-Brabant;"0"
GM1706;Cranendonck;CR36;Zuidoost-Noord-Brabant;"0"
GM0858;Valkenswaard;CR36;Zuidoost-Noord-Brabant;"0"
GM1658;Heeze-Leende;CR36;Zuidoost-Noord-Brabant;"0"
GM0847;Someren;CR36;Zuidoost-Noord-Brabant;"0"
GM0770;Eersel;CR36;Zuidoost-Noord-Brabant;"0"
GM0743;Asten;CR36;Zuidoost-Noord-Brabant;"0"
GM0866;Waalre;CR36;Zuidoost-Noord-Brabant;"0"
GM0861;Veldhoven;CR36;Zuidoost-Noord-Brabant;"0"
GM0762;Deurne;CR36;Zuidoost-Noord-Brabant;"0"
GM0772;Eindhoven;CR36;Zuidoost-Noord-Brabant;"1"
GM0820;"Nuenen, Gerwen en Nederwetten";CR36;Zuidoost-Noord-Brabant;"0"
GM0794;Helmond;CR36;Zuidoost-Noord-Brabant;"1"
GM0753;Best;CR36;Zuidoost-Noord-Brabant;"0"
GM0848;Son en Breugel;CR36;Zuidoost-Noord-Brabant;"0"
GM1659;Laarbeek;CR36;Zuidoost-Noord-Brabant;"0"
GM1652;Gemert-Bakel;CR36;Zuidoost-Noord-Brabant;"0"
GM1724;Bergeijk;CR36;Zuidoost-Noord-Brabant;"0"
GM1771;Geldrop-Mierlo;CR36;Zuidoost-Noord-Brabant;"0"
GM0944;Mook en Middelaar;CR37;Noord-Limburg;"0"
GM0889;Beesel;CR37;Noord-Limburg;"0"
GM0983;Venlo;CR37;Noord-Limburg;"1"
GM1507;Horst aan de Maas;CR37;Noord-Limburg;"0"
GM0984;Venray;CR37;Noord-Limburg;"0"
GM0893;Bergen (L.);CR37;Noord-Limburg;"0"
GM0907;Gennep;CR37;Noord-Limburg;"0"
GM1894;Peel en Maas;CR37;Noord-Limburg;"0"
GM1669;Roerdalen;CR38;Midden-Limburg;"0"
GM1641;Maasgouw;CR38;Midden-Limburg;"0"
GM0957;Roermond;CR38;Midden-Limburg;"0"
GM0988;Weert;CR38;Midden-Limburg;"0"
GM1640;Leudal;CR38;Midden-Limburg;"0"
GM1711;Echt-Susteren;CR38;Midden-Limburg;"0"
GM0946;Nederweert;CR38;Midden-Limburg;"0"
GM0981;Vaals;CR39;Zuid-Limburg;"0"
GM0965;Simpelveld;CR39;Zuid-Limburg;"0"
GM0994;Valkenburg aan de Geul;CR39;Zuid-Limburg;"0"
GM0935;Maastricht;CR39;Zuid-Limburg;"1"
GM0928;Kerkrade;CR39;Zuid-Limburg;"0"
GM0986;Voerendaal;CR39;Zuid-Limburg;"0"
GM0938;Meerssen;CR39;Zuid-Limburg;"0"
GM0917;Heerlen;CR39;Zuid-Limburg;"1"
GM0882;Landgraaf;CR39;Zuid-Limburg;"0"
GM0888;Beek;CR39;Zuid-Limburg;"0"
GM0899;Brunssum;CR39;Zuid-Limburg;"0"
GM1954;Beekdaelen;CR39;Zuid-Limburg;"0"
GM0971;Stein;CR39;Zuid-Limburg;"0"
GM1729;Gulpen-Wittem;CR39;Zuid-Limburg;"0"
GM1883;Sittard-Geleen;CR39;Zuid-Limburg;"1"
GM1903;Eijsden-Margraten;CR39;Zuid-Limburg;"0"
GM0034;Almere;CR40;Flevoland;"1"
GM0050;Zeewolde;CR40;Flevoland;"0"
GM0184;Urk;CR40;Flevoland;"0"
GM0303;Dronten;CR40;Flevoland;"0"
GM0171;Noordoostpolder;CR40;Flevoland;"0"
GM0995;Lelystad;CR40;Flevoland;"1"
