"ID";"Sex";"Regions";"Periods";"PopulationOn01January_2016"
"1075";"T001038";"CR01  ";"2015JJ00";"  148583"
"1135";"T001038";"CR02  ";"2015JJ00";"   47111"
"1195";"T001038";"CR03  ";"2015JJ00";"  388027"
"1255";"T001038";"CR04  ";"2015JJ00";"  324077"
"1315";"T001038";"CR05  ";"2015JJ00";"  135313"
"1375";"T001038";"CR06  ";"2015JJ00";"  186650"
"1435";"T001038";"CR07  ";"2015JJ00";"  189597"
"1495";"T001038";"CR08  ";"2015JJ00";"  168336"
"1555";"T001038";"CR09  ";"2015JJ00";"  130696"
"1615";"T001038";"CR10  ";"2015JJ00";"  364300"
"1675";"T001038";"CR11  ";"2015JJ00";"  153455"
"1735";"T001038";"CR12  ";"2015JJ00";"  626525"
"1795";"T001038";"CR13  ";"2015JJ00";"  672027"
"1855";"T001038";"CR14  ";"2015JJ00";"  399260"
"1915";"T001038";"CR15  ";"2015JJ00";"  725759"
"1975";"T001038";"CR16  ";"2015JJ00";"  238305"
"2035";"T001038";"CR17  ";"2015JJ00";" 1273613"
"2095";"T001038";"CR18  ";"2015JJ00";"  372606"
"2155";"T001038";"CR19  ";"2015JJ00";"  241621"
"2215";"T001038";"CR20  ";"2015JJ00";"  195029"
"2275";"T001038";"CR21  ";"2015JJ00";"  229572"
"2335";"T001038";"CR22  ";"2015JJ00";"  168130"
"2395";"T001038";"CR23  ";"2015JJ00";" 1329572"
"2455";"T001038";"CR24  ";"2015JJ00";"  248324"
"2515";"T001038";"CR25  ";"2015JJ00";"  418023"
"2575";"T001038";"CR26  ";"2015JJ00";"  845425"
"2635";"T001038";"CR27  ";"2015JJ00";"  224867"
"2695";"T001038";"CR28  ";"2015JJ00";"  320758"
"2755";"T001038";"CR29  ";"2015JJ00";" 1412322"
"2815";"T001038";"CR30  ";"2015JJ00";"  400908"
"2875";"T001038";"CR31  ";"2015JJ00";"  105668"
"2935";"T001038";"CR32  ";"2015JJ00";"  275584"
"2995";"T001038";"CR33  ";"2015JJ00";"  625319"
"3055";"T001038";"CR34  ";"2015JJ00";"  469184"
"3115";"T001038";"CR35  ";"2015JJ00";"  647631"
"3175";"T001038";"CR36  ";"2015JJ00";"  756615"
"3235";"T001038";"CR37  ";"2015JJ00";"  279971"
"3295";"T001038";"CR38  ";"2015JJ00";"  235429"
"3355";"T001038";"CR39  ";"2015JJ00";"  600860"
"3415";"T001038";"CR40  ";"2015JJ00";"  404068"
