"";"IND";"CAP";"VUL";"MIT"
"'s-Gravenhage";0;1;0;1
"'s-Hertogenbosch";1;1;1;1
"Alkmaar";0;0;0;0
"Almere";0;0;0;1
"Alphen aan den Rijn";0;0;1;0
"Amsterdam";0;1;1;1
"Apeldoorn";1;0;0;0
"Breda";1;1;1;1
"Deventer";1;0;0;0
"Dordrecht";1;0;0;0
"Eindhoven";1;1;1;1
"Enschede";1;0;0;1
"Groningen";0;1;1;1
"Haarlem";0;0;0;1
"Hilversum";0;1;0;1
"Hoorn";0;0;0;0
"Leeuwarden";0;0;0;0
"Leiden";0;0;0;0
"Maastricht";1;0;1;1
"Middelburg";1;0;0;0
"Nijmegen";0;0;1;1
"Rotterdam";0;1;0;0
"Tilburg";1;0;0;1
"Utrecht";0;1;0;1
"Velsen";1;0;0;0
"Venlo";1;0;0;0
"Zwolle";1;0;1;0
