"city_name";"gpc_mean12_15";"floodrisk_city";"EmployedPersons_1000fte_percapita";"mitigation_plan"
"'s-Gravenhage";53613,6249133756;1;1,51403140432327;"A1"
"'s-Hertogenbosch";47895,25;5;6,31532462158235;"A1"
"Alkmaar";38986,5;2;3,35235761792228;"B"
"Almere";36681,75;1;3,06879040161557;"A3"
"Alphen aan den Rijn";39058,75;5;3,36702436104478;"B"
"Amsterdam";90035,75;4;2,96335963753749;"A1"
"Apeldoorn";43999,5;2;4,65755096149411;""
"Breda";49000,5;5;5,85301262235755;"A1"
"Deventer";37979;3;5,47391743507869;"B"
"Dordrecht";44684,75;1;5,93652409031499;"B"
"Eindhoven";54276,25;5;7,89040661366745;"A1"
"Enschede";38774,75;1;6,22481146003751;"A1"
"Groningen";71329,5;5;4,07188159586833;"A1"
"Haarlem";38948,3309683843;1;2,13440663495548;"A3"
"Hilversum";47871;3;2,73835795170825;"A1"
"Hoorn";33491,25;1;3,43526405908654;"B"
"Leeuwarden";35806,5;3;3,98053549002243;""
"Leiden";45467,25;1;3,82754058987185;"B"
"Maastricht";42158,5;5;4,9762007788836;"A1"
"Middelburg";37017;1;5,11640733859731;""
"Nijmegen";42586,25;5;4,05093150756656;"A1"
"Rotterdam";51034,5630820919;1;3,71728260269259;"B"
"Tilburg";41295;2;4,90212794980221;"A3"
"Utrecht";60967,5;3;2,99148956551166;"A1"
"Velsen";42806;1;7,48606617477401;""
"Venlo";44192,25;3;7,39362291094435;""
"Zwolle";43847,25;5;5,84682953609662;""
